"STATION","NAME","DATE","MLY-CLDD-BASE45","MLY-CLDD-BASE50","MLY-CLDD-BASE55","MLY-CLDD-BASE57","MLY-CLDD-BASE60","MLY-CLDD-BASE70","MLY-CLDD-BASE72","MLY-CLDD-NORMAL","MLY-DUTR-NORMAL","MLY-DUTR-STDDEV","MLY-GRDD-BASE40","MLY-GRDD-BASE45","MLY-GRDD-BASE50","MLY-GRDD-BASE55","MLY-GRDD-BASE57","MLY-GRDD-BASE60","MLY-GRDD-BASE65","MLY-GRDD-BASE70","MLY-GRDD-BASE72","MLY-GRDD-TB4886","MLY-GRDD-TB5086","MLY-HTDD-BASE40","MLY-HTDD-BASE45","MLY-HTDD-BASE50","MLY-HTDD-BASE55","MLY-HTDD-BASE57","MLY-HTDD-BASE60","MLY-HTDD-NORMAL","MLY-PRCP-25PCTL","MLY-PRCP-50PCTL","MLY-PRCP-75PCTL","MLY-PRCP-AVGNDS-GE001HI","MLY-PRCP-AVGNDS-GE010HI","MLY-PRCP-AVGNDS-GE050HI","MLY-PRCP-AVGNDS-GE100HI","MLY-PRCP-NORMAL","MLY-SNOW-25PCTL","MLY-SNOW-50PCTL","MLY-SNOW-75PCTL","MLY-SNOW-AVGNDS-GE001TI","MLY-SNOW-AVGNDS-GE010TI","MLY-SNOW-AVGNDS-GE030TI","MLY-SNOW-AVGNDS-GE050TI","MLY-SNOW-AVGNDS-GE100TI","MLY-SNOW-NORMAL","MLY-SNWD-AVGNDS-GE001WI","MLY-SNWD-AVGNDS-GE003WI","MLY-SNWD-AVGNDS-GE005WI","MLY-SNWD-AVGNDS-GE010WI","MLY-TAVG-NORMAL","MLY-TAVG-STDDEV","MLY-TMAX-AVGNDS-GRTH040","MLY-TMAX-AVGNDS-GRTH050","MLY-TMAX-AVGNDS-GRTH060","MLY-TMAX-AVGNDS-GRTH070","MLY-TMAX-AVGNDS-GRTH080","MLY-TMAX-AVGNDS-GRTH090","MLY-TMAX-AVGNDS-GRTH100","MLY-TMAX-AVGNDS-LSTH032","MLY-TMAX-NORMAL","MLY-TMAX-STDDEV","MLY-TMIN-AVGNDS-LSTH000","MLY-TMIN-AVGNDS-LSTH010","MLY-TMIN-AVGNDS-LSTH020","MLY-TMIN-AVGNDS-LSTH032","MLY-TMIN-AVGNDS-LSTH040","MLY-TMIN-AVGNDS-LSTH050","MLY-TMIN-AVGNDS-LSTH060","MLY-TMIN-AVGNDS-LSTH070","MLY-TMIN-NORMAL","MLY-TMIN-PRBOCC-LSTH016","MLY-TMIN-PRBOCC-LSTH020","MLY-TMIN-PRBOCC-LSTH024","MLY-TMIN-PRBOCC-LSTH028","MLY-TMIN-PRBOCC-LSTH032","MLY-TMIN-PRBOCC-LSTH036","MLY-TMIN-STDDEV"
"USC00456295","PALMER 3 ESE, WA US","01","13","1","-7777","0","0","0","0","0","10.6","1.4","61","13","1","-7777","0","0","0","0","0","20","12","83","190","333","487","549","642","797","8.06","11.59","13.39","19.9","16.5","8.0","3.1","11.03","0.0","2.0","4.5","2.1","1.9","0.9","0.2","-7777","5.3","4.3","2.5","1.4","0.6","39.3","2.7","236","6.4","2","0","0","0.0","0.0","1.0","44.6","2.9","0.0","1","7","10.4","265","310","310","310","34.0","168","327","615","877","987","1000","2.8"
"USC00456295","PALMER 3 ESE, WA US","02","23","3","-7777","-7777","0","0","0","0","13.7","1.7","78","23","3","-7777","-7777","0","0","0","0","35","24","57","142","262","399","455","539","679","5.41","7.01","10.00","17.1","12.5","5.5","1.8","7.74","0.0","0.3","5.5","1.6","1.4","0.5","0.1","-7777","3.4","2.9","1.6","1.0","0.5","40.7","3.1","245","10.0","12","0","0","0.0","0.0","0.3","47.6","3.4","-7777","1","9","10.0","232","279","280","280","33.9","132","275","515","800","963","1000","3.1"
"USC00456295","PALMER 3 ESE, WA US","03","50","11","1","-7777","-7777","0","0","0","15.8","1.7","138","50","11","1","-7777","-7777","0","0","0","78","60","21","87","203","349","410","502","657","7.76","8.66","10.66","21.5","16.5","6.8","2.2","9.08","0.0","0.0","3.2","0.9","0.6","0.2","0.1","-7777","2.0","0.8","0.3","0.1","0.0","43.8","2.5","299","16.9","46","2","0","0.0","0.0","-7777","51.7","3.0","0.0","0","1","5.3","253","310","310","310","35.9","5","47","111","393","848","1000","2.1"
"USC00456295","PALMER 3 ESE, WA US","04","108","40","12","7","3","-7777","0","-7777","18.3","2.0","227","108","40","12","7","3","-7777","-7777","0","136","111","4","34","117","239","293","379","527","5.85","7.61","8.67","19.6","14.8","5.5","1.4","7.37","0.0","0.0","0.5","0.4","0.3","0.0","0.0","0.0","0.4","0.2","0.0","0.0","0.0","47.4","2.1","299","23.3","89","26","3","0.0","0.0","0.0","56.6","2.6","0.0","0","0","1.2","203","297","300","300","38.3","0","0","5","123","571","978","2.0"
"USC00456295","PALMER 3 ESE, WA US","05","255","130","56","38","19","1","-7777","5","19.3","2.6","406","255","130","56","38","19","5","1","-7777","235","201","-7777","4","34","115","159","233","374","4.95","6.43","8.00","17.9","12.8","4.5","1.5","6.39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","53.1","2.2","310","29.7","165","69","15","0.1","0.0","0.0","62.7","3.1","0.0","0","0","-7777","76","282","310","310","43.5","0","0","0","0","83","610","2.0"
"USC00456295","PALMER 3 ESE, WA US","06","384","237","115","80","45","3","1","14","19.5","2.6","534","384","237","115","80","45","14","3","1","315","273","0","-7777","3","31","56","111","230","3.30","5.49","7.39","14.8","10.5","4.0","1.1","5.34","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","57.8","2.4","300","29.9","237","112","34","0.4","0.0","0.0","67.6","3.4","0.0","0","0","0.0","4","219","299","300","48.0","0","0","0","0","0","36","1.8"
"USC00456295","PALMER 3 ESE, WA US","07","553","398","246","190","118","10","5","41","21.9","3.3","708","553","398","246","190","118","41","10","5","459","403","0","0","-7777","3","9","30","108","1.23","2.12","3.57","9.0","5.1","1.5","0.6","2.55","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","62.9","2.4","310","31.0","298","195","80","1.2","0.0","0.0","73.8","3.7","0.0","0","0","0.0","-7777","94","305","310","51.9","0","0","0","0","0","0","1.7"
"USC00456295","PALMER 3 ESE, WA US","08","573","418","265","206","130","9","5","46","22.2","2.2","728","573","418","265","206","130","46","9","5","479","423","0","0","0","1","5","22","92","1.28","1.92","3.41","7.8","4.7","1.7","0.7","2.56","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63.5","1.5","310","31.0","302","213","89","0.8","0.0","0.0","74.6","2.2","0.0","0","0","0.0","-7777","81","304","310","52.4","0","0","0","0","0","0","1.4"
"USC00456295","PALMER 3 ESE, WA US","09","417","270","142","102","57","3","1","15","20.6","2.4","567","417","270","142","102","57","15","3","1","350","305","0","-7777","3","25","45","90","198","2.56","4.28","5.75","11.1","7.7","3.3","0.9","3.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","58.9","2.2","300","29.9","258","131","37","0.2","0.0","0.0","69.2","2.9","0.0","0","0","-7777","11","178","298","300","48.6","0","0","0","0","4","79","1.9"
"USC00456295","PALMER 3 ESE, WA US","10","189","81","25","15","5","-7777","-7777","-7777","16.2","2.0","333","189","81","25","15","5","-7777","-7777","-7777","175","143","1","12","59","159","210","294","444","5.35","6.93","9.36","16.2","12.3","5.2","2.0","7.29","0.0","0.0","0.0","-7777","-7777","0.0","0.0","0.0","-7777","-7777","0.0","0.0","0.0","50.7","1.9","309","28.4","118","27","3","0.0","0.0","0.0","58.8","2.4","0.0","0","0","0.6","97","288","310","310","42.6","0","0","0","36","323","815","1.8"
