,cust_id,birth_date,Age,acct_amount,inv_amount,fund_A,fund_B,fund_C,fund_D,account_opened,last_transaction
0,870A9281,1962-06-09,58,63523.31,51295,30105.0,4138.0,1420.0,15632.0,02-09-18,22-02-19
1,166B05B0,1962-12-16,58,38175.46,15050,4995.0,938.0,6696.0,2421.0,28-02-19,31-10-18
2,BFC13E88,1990-09-12,34,59863.77,24567,10323.0,4590.0,8469.0,1185.0,25-04-18,02-04-18
3,F2158F66,1985-11-03,35,84132.1,23712,3908.0,492.0,6482.0,12830.0,07-11-17,08-11-18
4,7A73F334,1990-05-17,30,120512.0,93230,12158.4,51281.0,13434.0,18383.0,14-05-18,19-07-18
5,472341F2,1980-02-23,40,83127.65,67960,12686.0,19776.0,23707.0,11791.0,14-12-18,22-04-18
6,6B094617,1977-08-26,43,89855.98,34549,1796.0,312.0,20610.0,11831.0,06-02-18,14-02-19
7,80C0DAB3,1963-10-14,57,73951.45,61649,15290.0,3991.0,36728.0,5640.0,03-04-17,21-09-19
8,E52D4C7F,1975-06-05,49,61795.89,49385,12939.0,7757.0,12569.0,16120.0,22-05-17,24-10-19
9,BD7CF5D7,1965-01-04,55,82084.76,44338,18966.0,523.0,4903.0,19946.0,18-07-17,26-02-20
10,93F2F951,1982-07-02,38,93875.24,76562,29593.0,34379.0,4268.0,8322.0,21-08-17,10-07-19
11,DE0A0882,1966-10-08,54,99998.35,18667,2156.0,2891.0,4476.0,9144.0,05-06-17,15-01-19
12,EEBD980F,1990-11-20,34,57838.49,50812,18314.0,1477.0,29049.479999999996,5539.0,08-12-18,04-01-20
13,7D8EBAF6,1975-11-22,45,109943.03,81488,30856.0,2170.0,20410.0,28052.0,02-07-17,22-02-20
14,987DC93E,1978-03-13,42,35924.41,14880,182.0,5064.0,3028.0,6606.0,30-12-18,06-12-18
15,3C5CBBD7,1971-05-20,49,59678.01,35937,4133.0,8540.0,9595.0,13669.0,03-01-19,02-10-18
16,9A9BB390,1978-10-10,42,83653.09,44654,8117.0,8777.0,15380.0,12380.0,15-08-18,18-01-19
