,name,addr,city,phone,type
0,arnie morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,american
1,art's delicatessen, 12224 ventura blvd. ,studio city,8187621221,american
2,campanile, 624 s. la brea ave. ,los angeles,2139381447,american
3,fenix, 8358 sunset blvd. west ,hollywood,2138486677,american
4,grill on the alley, 9560 dayton way ,los angeles,3102760615,american
5,restaurant katsu, 1972 n. hillhurst ave. ,los angeles,2136651891,asian
6,locanda veneta, 3rd st. ,los angeles,3102741893,italian
7,matsuhisa, 129 n. la cienega blvd. ,beverly hills,3106599639,asian
8,the palm, 9001 santa monica blvd. ,los angeles,3105508811,american
9,philippe's the original, 1001 n. alameda st. ,los angeles,2136283781,american
10,rex il ristorante, 617 s. olive st. ,los angeles,2136272300,italian
11,valentino, 3115 pico blvd. ,santa monica,3108294313,italian
12,yujean kang's gourmet chinese cuisine,67 n. raymond ave. ,los angeles,8185850855,asian
13,21 club,21 w. 52nd st. ,new york,2125827200,american
14,aureole,34 e. 61st st. ,new york,2123191660,american
15,cafe lalo, 201 w. 83rd st. ,new york,2124966031,coffeebar
16,carmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italian
17,chanterelle, 2 harrison st. near hudson st. ,new york,2129666960,american
18,dawat, 210 e. 58th st. ,new york,2123557555,asian
19,felidia, 243 e. 58th st. ,new york,2127581479,italian
20,four seasons grill room,99 e. 52nd st. ,new york,2127549494,american
21,gotham bar & grill,12 e. 12th st. ,new york,2126204020,american
22,gramercy tavern,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,american
23,jo jo, 160 e. 64th st. ,new york,2122235656,american
24,lespinasse, 2 e. 55th st. ,new york,2123396719,american
25,march, 405 e. 58th st. ,new york,2127546272,american
26,mesa grill, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,american
27,mi cocina,57 jane st. off hudson st. ,new york,2126278273,mexican
28,park avenue cafe, 100 e. 63rd st. ,new york,2126441900,american
29,river cafe, 1 water st. at the east river ,brooklyn,7185225200,american
30,san domenico, 240 central park s ,new york,2122655959,italian
31,seryna,11 e. 53rd st. ,new york,2129809393,asian
32,shun lee west,43 w. 65th st. ,new york,2123718844,asian
33,sign of the dove, 1110 3rd ave. at 65th st. ,new york,2128618080,american
34,smith & wollensky, 201 e. 49th st. ,new york,2127531530,american
35,tavern on the green, in central park at 67th st. ,new york,2128733200,american
36,union square cafe,21 e. 16th st. ,new york,2122434020,american
37,virgil's, 152 w. 44th st. ,new york,2129219494,american
38,chin's, 3200 las vegas blvd. s ,las vegas,7027338899,asian
39,coyote cafe, 3799 las vegas blvd. s ,las vegas,7028917349,southwestern
40,steak house, 2880 las vegas blvd. s ,las vegas,7027340410,steakhouses
41,abruzzi, 2355 peachtree rd. . peachtree battle shopping center ,atlanta,4042618186,italian
42,bone's, 3130 piedmont road ,atlanta,4042372663,american
43,buckhead diner, 3073 piedmont road ,atlanta,4042623336,american
44,delectables, 1 margaret mitchell sq. ,atlanta,4046812909,american
45,georgia grille, 2290 peachtree rd. . peachtree square shopping center ,atlanta,4043523517,american
46,heera of india, 595 piedmont ave. rio shopping mall ,atlanta,4048764408,asian
47,la grotta, 2637 peachtree rd. . peachtree house condominium ,atlanta,4042311368,italian
48,mary mac's tea room, 224 ponce de leon ave. ,atlanta,4048761800,southern
49,veni vidi vici,41 14th st. ,atlanta,4048758424,italian
50,boulevard, 1 mission st. ,san francisco,4155436084,american
51,campton place, 340 stockton st. ,san francisco,4159555555,american
52,hawthorne lane,22 hawthorne st. ,san francisco,4157779779,american
53,khan toke thai house, 5937 geary blvd. ,san francisco,4156686654,asian
54,mifune japan center kintetsu building, 1737 post st. ,san francisco,4159220337,asian
55,postrio, 545 post st. ,san francisco,4157767825,american
56,ritz-carlton restaurant and dining room, 600 stockton st. ,san francisco,4152967465,american
57,rose pistola, 532 columbus ave. ,san francisco,4153990499,italian
58,il nido, 251 e. 53rd st. ,new york,2127538450,italian
59,remi, 145 w. 53rd st. ,new york,2125814242,italian
60,adriano's ristorante, 2930 beverly glen circle ,los angeles,3104759807,italian
61,barney greengrass, 9570 wilshire blvd. ,beverly hills,3107775877,american
62,border grill, 4th st. ,los angeles,3104511655,mexican
63,broadway deli, 3rd st. promenade ,santa monica,3104510616,american
64,ca   brea, 346 s. la brea ave. ,los angeles,2139382863,italian
65,ca   del sol, 4100 cahuenga blvd. ,los angeles,8189854669,italian
66,canter's, 419 n. fairfax ave. ,los angeles,2136512030,american
67,chan dara, 310 n. larchmont blvd. ,los angeles,2134671052,asian
68,drago, 2628 wilshire blvd. ,santa monica,3108281585,italian
69,ed debevic's, 134 n. la cienega ,los angeles,3106591952,american
70,el cholo, 1121 s. western ave. ,los angeles,2137342773,mexican
71,gilliland's, 2424 main st. ,santa monica,3103923901,american
72,gladstone's, 4 fish 17300 pacific coast hwy . at sunset blvd. ,pacific palisades,3104543474,american
73,hard rock cafe, 8600 beverly blvd. ,los angeles,3102767605,american
74,harry's bar & american grill, 2020 ave. of the stars ,los angeles,3102772333,italian
75,il fornaio cucina italiana, 301 n. beverly dr. ,los angeles,3105508330,italian
76,joss, 9255 sunset blvd. ,los angeles,3102761886,asian
77,le colonial, 8783 beverly blvd. ,los angeles,3102890660,asian
78,louise's trattoria, 4500 los feliz blvd. ,los angeles,2136670777,italian
79,mon kee seafood restaurant, 679 n. spring st. ,los angeles,2136286717,asian
80,morton's, 8764 melrose ave. ,los angeles,3102765205,american
81,nate   n   al's, 414 n. beverly dr. ,los angeles,3102740101,american
82,nicola, 601 s. figueroa st. ,los angeles,2134850927,american
83,ocean avenue, 1401 ocean ave. ,santa monica,3103945669,american
84,orleans, 11705 national blvd. ,los angeles,3104794187,cajun
85,pacific dining car, 6th st. ,los angeles,2134836000,american
86,paty's, 10001 riverside dr. ,toluca lake,8187619126,american
87,posto, 14928 ventura blvd. ,sherman oaks,8187844400,italian
88,prego, 362 n. camden dr. ,los angeles,3102777346,italian
89,rj's the rib joint, 252 n. beverly dr. ,los angeles,3102747427,american
90,remi, 3rd st. promenade ,santa monica,3103936545,italian
91,restaurant horikawa, 111 s. san pedro st. ,los angeles,2136809355,asian
92,roscoe's house of chicken   n   waffles, 1514 n. gower st. ,los angeles,2134669329,american
93,swingers, 8020 beverly blvd. ,los angeles,2136535858,american
94,tavola calda, 7371 melrose ave. ,los angeles,2136586340,italian
95,the mandarin, 430 n. camden dr. ,los angeles,3108590926,asian
96,tommy tang's, 7313 melrose ave. ,los angeles,2139375733,asian
97,tra di noi, 3835 cross creek rd. ,los angeles,3104560169,italian
98,trader vic's, 9876 wilshire blvd. ,los angeles,3102766345,asian
99,vida, 1930 north hillhurst ave. ,los feliz,2136604446,american
100,west beach cafe,60 n. venice blvd. ,los angeles,3108235396,american
101,20 mott,20 mott st. between bowery and pell st. ,new york,2129640380,asian
102,9 jones street, 9 jones st. ,new york,2129891220,american
103,aja, 937 broadway at 22nd st. ,new york,2124738388,american
104,alamo, 304 e. 48th st. ,new york,2127590590,mexican
105,alley's end, 311 w. 17th st. ,new york,2126278899,american
106,ambassador grill, 1 united nations plaza at 44th st. ,new york,2127025014,american
107,american place, 2 park ave. at 32nd st. ,new york,2126842122,american
108,anche vivolo, 222 e. 58th st. between 2nd and 3rd aves . ,new york,2123080112,italian
109,arizona, 206 206 e. 60th st. ,new york,2128380440,american
110,arturo's, 106 w. houston st. off thompson st. ,new york,2126773820,italian
111,au mandarin, 200-250 vesey st. world financial center ,new york,2123850313,asian
112,barbetta, 321 w. 46th st. ,new york,2122469171,italian
113,ben benson's, 123 w. 52nd st. ,new york,2125818888,american
114,big cup, 228 8th ave. between 21st and 22nd sts . ,new york,2122060059,coffeebar
115,billy's, 948 1st ave. between 52nd and 53rd sts . ,new york,2127531870,american
116,boonthai, 1393a 2nd ave. between 72nd and 73rd sts . ,new york,2122498484,asian
117,brothers bar-b-q, 225 varick st. at clarkston st. ,new york,2127272775,american
118,bruno, 240 e. 58th st. ,new york,2126884190,italian
119,bryant park grill roof restaurant and bp cafe,25 w. 40th st. between 5th and 6th aves . ,new york,2128406500,american
120,c3, 103 waverly pl . near washington sq. ,new york,2122541200,american
121,cafe bianco, 1486 2nd ave. between 77th and 78th sts . ,new york,2129882655,coffeebar
122,cafe la fortuna,69 w. 71st st. ,new york,2127245846,coffeebar
123,caffe dante,81 macdougal st. between houston and bleeker sts . ,new york,2129825275,coffeebar
124,caffe dell   artista,46 greenwich ave. ,new york,2126454431,coffeebar
125,caffe reggio, 119 macdougal st. between 3rd and bleecker sts . ,new york,2124759557,coffeebar
126,caffe roma, 385 broome st. at mulberry ,new york,2122268413,coffeebar
127,caffe vivaldi,32 jones st. at bleecker st. ,new york,2126917538,coffeebar
128,caffe bondi ristorante, 7 w. 20th st. ,new york,2126918136,italian
129,cendrillon asian grill & marimba bar,45 mercer st. between broome and grand sts . ,new york,2123439012,asian
130,chiam, 160 e. 48th st. ,new york,2123712323,asian
131,china grill,60 w. 53rd st. ,new york,2123337788,american
132,coco pazzo,23 e. 74th st. ,new york,2127940205,italian
133,columbus bakery, 53rd sts . ,new york,2124210334,coffeebar
134,corrado cafe, 1013 3rd ave. between 60th and 61st sts . ,new york,2127535100,coffeebar
135,cupcake cafe, 522 9th ave. at 39th st. ,new york,2124651530,coffeebar
136,da nico, 164 mulberry st. between grand and broome sts . ,new york,2123431212,italian
137,dean & deluca, 121 prince st. ,new york,2122548776,coffeebar
138,diva, 341 w. broadway near grand st. ,new york,2129419024,italian
139,duane park cafe, 157 duane st. between w. broadway and hudson st. ,new york,2127325555,american
140,el teddy's, 219 w. broadway between franklin and white sts . ,new york,2129417070,mexican
141,em ily's, 1325 5th ave. at 111th st. ,new york,2129961212,american
142,em pire korea, 6 e. 32nd st. ,new york,2127251333,asian
143,ernie's, 2150 broadway between 75th and 76th sts . ,new york,2124961588,american
144,evergreen cafe, 1288 1st ave. at 69th st. ,new york,2127443266,asian
145,f. ille ponte ristorante,39 desbrosses st. near west st. ,new york,2122264621,italian
146,fifty seven fifty seven,57 e. 57th st. ,new york,2127585757,american
147,film center cafe, 635 9th ave. between 44th and 45th sts . ,new york,2122622525,american
148,fiorello's roman cafe, 1900 broadway between 63rd and 64th sts . ,new york,2125955330,italian
149,firehouse, 522 columbus ave. between 85th and 86th sts . ,new york,2125953139,american
150,first,87 1st ave. between 5th and 6th sts . ,new york,2126743823,american
151,fleur de jour, 348 e. 62nd st. ,new york,2123552020,coffeebar
