STATION,DATE,TAVG,TMIN,TMAX,AWND,WSF2,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014765,2005-01-01,44.0,35,53,8.95,25.1,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-01-02,36.0,28,44,9.4,14.1,,,,,,,,,,,,,,,1.0,,1.0,,,
USW00014765,2005-01-03,49.0,44,53,6.93,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,
USW00014765,2005-01-04,42.0,39,45,6.93,16.1,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-01-05,36.0,28,43,7.83,17.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
USW00014765,2005-01-06,30.0,25,35,8.72,15.0,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
USW00014765,2005-01-07,33.0,28,37,8.72,23.9,1.0,,,,,,,,,,,1.0,,,,,,,,
USW00014765,2005-01-08,32.0,29,34,6.04,17.0,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,
USW00014765,2005-01-09,31.0,28,34,6.04,15.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-10,37.0,31,43,6.71,17.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-11,34.0,30,38,5.37,10.1,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-12,33.0,29,37,7.61,10.1,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,
USW00014765,2005-01-13,46.0,33,59,6.49,30.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-01-14,48.0,33,62,17.9,40.0,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,
USW00014765,2005-01-15,29.0,25,33,6.71,17.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-16,27.0,23,30,13.42,25.1,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-17,22.0,15,29,13.87,25.1,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,
USW00014765,2005-01-18,11.0,6,15,14.09,23.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-19,16.0,3,29,3.36,10.1,1.0,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-20,24.0,18,29,9.4,21.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,
USW00014765,2005-01-21,11.0,3,18,12.08,21.0,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-22,13.0,-2,27,8.72,23.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-23,17.0,5,28,26.84,45.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-24,14.0,4,23,11.41,19.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-25,21.0,15,27,8.72,19.9,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-01-26,23.0,17,29,13.2,25.9,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0
USW00014765,2005-01-27,12.0,6,18,15.43,28.0,,,,,,,,,,,,,,,,,1.0,,,
USW00014765,2005-01-28,12.0,2,22,8.95,21.9,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-29,19.0,2,36,4.25,10.1,,,,,,,,,,,,,,,,,,,,
USW00014765,2005-01-30,32.0,24,39,8.72,16.1,,,,,,,,,,,,,,,,,,,,
