DATE,VALUE
1947-01-01,243.1
1947-04-01,246.3
1947-07-01,250.1
1947-10-01,260.3
1948-01-01,266.2
1948-04-01,272.9
1948-07-01,279.5
1948-10-01,280.7
1949-01-01,275.4
1949-04-01,271.7
1949-07-01,273.3
1949-10-01,271.0
1950-01-01,281.2
1950-04-01,290.7
1950-07-01,308.5
1950-10-01,320.3
1951-01-01,336.4
1951-04-01,344.5
1951-07-01,351.8
1951-10-01,356.6
1952-01-01,360.2
1952-04-01,361.4
1952-07-01,368.1
1952-10-01,381.2
1953-01-01,388.5
1953-04-01,392.3
1953-07-01,391.7
1953-10-01,386.5
1954-01-01,385.9
1954-04-01,386.7
1954-07-01,391.6
1954-10-01,400.3
1955-01-01,413.8
1955-04-01,422.2
1955-07-01,430.9
1955-10-01,437.8
1956-01-01,440.5
1956-04-01,446.8
1956-07-01,452.0
1956-10-01,461.3
1957-01-01,470.6
1957-04-01,472.8
1957-07-01,480.3
1957-10-01,475.7
1958-01-01,468.4
1958-04-01,472.8
1958-07-01,486.7
1958-10-01,500.4
1959-01-01,511.1
1959-04-01,524.2
1959-07-01,525.2
1959-10-01,529.3
1960-01-01,543.3
1960-04-01,542.7
1960-07-01,546.0
1960-10-01,541.1
1961-01-01,545.9
1961-04-01,557.4
1961-07-01,568.2
1961-10-01,581.6
1962-01-01,595.2
1962-04-01,602.6
1962-07-01,609.6
1962-10-01,613.1
1963-01-01,622.7
1963-04-01,631.8
1963-07-01,645.0
1963-10-01,654.8
1964-01-01,671.1
1964-04-01,680.8
1964-07-01,692.8
1964-10-01,698.4
1965-01-01,719.2
1965-04-01,732.4
1965-07-01,750.2
1965-10-01,773.1
1966-01-01,797.3
1966-04-01,807.2
1966-07-01,820.8
1966-10-01,834.9
1967-01-01,846.0
1967-04-01,851.1
1967-07-01,866.6
1967-10-01,883.2
1968-01-01,911.1
1968-04-01,936.3
1968-07-01,952.3
1968-10-01,970.1
1969-01-01,995.4
1969-04-01,1011.4
1969-07-01,1032.0
1969-10-01,1040.7
1970-01-01,1053.5
1970-04-01,1070.1
1970-07-01,1088.5
1970-10-01,1091.5
1971-01-01,1137.8
1971-04-01,1159.4
